1,Bulbasaur,1
2,Ivysaur,1
3,Venusaur,1
4,Charmander,1
5,Charmeleon,1
6,Charizard,1
7,Squirtle,1
8,Wartortle,1
9,Blastoise,1
10,Caterpie,1
152,Chikorita,2
153,Bayleef,2
154,Meganium,2
155,Cyndaquil,2
156,Quilava,2
157,Typhlosion,2
158,Totodile,2
159,Croconaw,2
160,Feraligatr,2
161,Sentret,2
811,Thwackey,8
812,Rillaboom,8
813,Scorbunny,8
814,Raboot,8
815,Cinderace,8
816,Sobble,8
817,Drizzile,8
818,Inteleon,8
819,Skwovet,8
252,Treecko,3
253,Grovyle,3
254,Sceptile,3
255,Torchic,3
256,Combusken,3
257,Blaziken,3
258,Mudkip,3
259,Marshtomp,3
260,Swampert,3
261,Poochyena,3
387,Turtwig,4
388,Grotle,4
389,Torterra,4
390,Chimchar,4
391,Monferno,4
392,Infernape,4
393,Piplup,4
394,Prinplup,4
395,Empoleon,4
396,Starly,4
650,Chespin,6
651,Quilladin,6
652,Chesnaught,6
653,Fennekin,6
654,Braixen,6
655,Delphox,6
656,Froakie,6
657,Frogadier,6
658,Greninja,6
659,Bunnelby,6
722,Rowlet,7
723,Dartrix,7
724,Decidueye,7
725,Litten,7
726,Torracat,7
727,Incineroar,7
728,Popplio,7
729,Brionne,7
730,Primarina,7
731,Pikipek,7
810,Grookey,8
494,Victini,5
495,Snivy,5
496,Servine,5
497,Serperior,5
498,Tepig,5
499,Pignite,5
500,Emboar,5
501,Oshawott,5
502,Dewott,5
503,Samurott,5

